index,review,likes,stars,date
169,Ecxelente.,0,4,16 may. 2025
170,Excelente salió muy bien.,0,5,16 may. 2025
171,Es nuevo muy satisfecho.,0,5,13 may. 2025
172,"Excelente producto nuevo,sellado y original.",0,5,13 may. 2025
173,"Excelente equipo calidad precio, nuevo sellado recomendable la verdad.",0,5,12 may. 2025
174,Excelente empaque con sus sellos y original y para la región correspondiente.,0,5,10 may. 2025
175,"El equipo es original y completamente nuevo, sellado y sin detalles tengo 14 días de uso desde mi compra y no tengo ningún problema.",0,5,06 may. 2025
176,Genial solo la batería de consume sin usarlo.,0,4,06 may. 2025
177,El producto es muy bueno en todo cámara excelente batería muy bien.,0,5,03 may. 2025
178,"Lo compré en última semana de enero para el cumple de mi hermana en febrero y le encantó es la segunda compra que hago, lo agarré con meses sin intereses a tres meses y fue excelente opción.",0,5,03 may. 2025
179,"Justo lo que esperaba, y exactamente es lo que esta en la descripción, totalmente nuevo.",0,5,03 may. 2025
180,Artículo completamente nuevo y original. 10/10.,0,5,01 may. 2025
181,"Ya tengo tiempo usándolo y me salió muy bien celular, no me arrepiento de la compra gracias.",0,5,30 abr. 2025
182,"El producto es real, viene sellado y la cajita no está maltratada. Funciona perfecto.",0,5,25 abr. 2025
183,Excelente teléfono.,0,5,24 abr. 2025
184,Original. Sin problemas.,0,5,20 abr. 2025
185,Original 10/10.,0,5,19 abr. 2025
186,"Le gusto a mi esposa, la capacidad de almacenamiento deja que desear y bueno se sabe que si se quiere adquirir más espacio hay que comprarlo, pero esta bien el producto, es original y se pudo configurar sin problemas, que este era mi miedo. La cámara mi esposa me dijo que le hace falta más calidad y la duración de la batería al parecer deja que desear.",0,5,19 abr. 2025
187,Muy buena compra.,0,5,18 abr. 2025
188,Original muy bueno.,0,5,16 abr. 2025
189,Completamente original y execelente.,0,5,16 abr. 2025
190,Excelente.,0,5,16 abr. 2025
191,Excelente.,0,5,16 abr. 2025
192,Todo exelente.,0,5,15 abr. 2025
193,"En excelente estado,viene sellado.",0,5,12 abr. 2025
194,Excelente audio al reproducir de una grabación.,0,5,11 abr. 2025
195,Excelente %100 original y en óptimas condiciones.,0,5,11 abr. 2025
196,Excelente producto.,0,5,10 abr. 2025
197,Muy bien me encantó mucho lo recomiendo todo bien original.,0,5,07 abr. 2025
198,Completamente original es la segunda vez que lo compro.,0,5,03 abr. 2025
199,Era lo esperado.,0,5,31 mar. 2025
200,"Un producto perfecto, en relación calidad-precio un producto recomendable.",0,5,30 mar. 2025
201,🔥🔥🔥.,0,5,30 mar. 2025
202,"Creí que era un poquito más grande, pero al final no me pareció tan mal que sea más compacto. 👍🏻.",0,5,25 mar. 2025
203,Me encanto.,0,5,23 mar. 2025
204,"Hasta el momento ah funcionado muy bien, fue un regalo para mi hija y le a funcionado todo bien.",0,5,22 mar. 2025
205,Excelente.,0,5,20 mar. 2025
206,"En el 2025, este celular sigue siendo de lo mejor.",0,5,16 mar. 2025
207,Excelente producto lo recomiendo.,0,5,16 mar. 2025
208,Es un producto nuevo muy rápido y calidad como siempre.,0,5,14 mar. 2025
209,Excelente 10/10.,0,5,14 mar. 2025
